NAME1 RA1 DEC1 Z1 RMS1 R1 G1 M1 Cf1 Cl1 Aib1 Aog1 NAME2 RA2 DEC2 Z2 RMS2 R2 G2 M2 Cf2 Cl2 Aib2 Aog2
J011059.31+002601.1 17.747137 0.433651 0.018843 0.007847 17.000000 0.754750 -2.179059 0.544015 2.559417 0.052280 0.047342 J141547.22+411824.4 213.946750 41.306778 0.025667 0.020641 15.000000 0.660699 -2.072994 0.533981 2.821357 0.113584 0.072856
J120114.35-034041.0 180.309800 -3.678067 0.019549 0.026884 19.000000 0.734038 -2.559901 0.593593 3.494850 0.110700 0.102450 J225900.18+132951.7 344.750750 13.497688 0.028729 0.017093 13.000000 0.745123 -2.344095 0.592242 2.614394 0.056077 0.052013
J120114.35-034041.0 180.309800 -3.678067 0.019549 0.026884 19.000000 0.734038 -2.559901 0.593593 3.494850 0.110700 0.102450 J111038.86+034519.6 167.661920 3.755448 0.025452 0.023767 20.000000 0.702699 -2.464374 0.586183 3.494850 0.083011 0.053359
J120114.35-034041.0 180.309800 -3.678067 0.019549 0.026884 19.000000 0.734038 -2.559901 0.593593 3.494850 0.110700 0.102450 J082854.33+343906.0 127.226360 34.651656 0.020922 0.016899 40.000000 0.643622 -2.180023 0.499327 3.367079 0.306766 0.263114
J120114.35-034041.0 180.309800 -3.678067 0.019549 0.026884 19.000000 0.734038 -2.559901 0.593593 3.494850 0.110700 0.102450 J024440.65-090735.5 41.169379 -9.126540 0.023475 0.011989 20.000000 0.728128 -2.269536 0.542910 3.010300 0.045204 0.033727
J120114.35-034041.0 180.309800 -3.678067 0.019549 0.026884 19.000000 0.734038 -2.559901 0.593593 3.494850 0.110700 0.102450 J130709.78+523247.1 196.790760 52.546409 0.026682 0.016408 10.000000 0.787315 -2.516445 0.683169 3.266063 0.064940 0.064940
J112536.17+542257.2 171.400690 54.382555 0.020642 0.025300 15.000000 0.695079 -2.559675 0.643196 3.010300 0.122375 0.112383 J001947.33+003526.9 4.947213 0.590795 0.017741 0.008710 22.000000 0.724107 -2.607526 0.612596 3.890756 0.098139 0.092303
J112536.17+542257.2 171.400690 54.382555 0.020642 0.025300 15.000000 0.695079 -2.559675 0.643196 3.010300 0.122375 0.112383 J102332.53+460328.0 155.885560 46.057770 0.025765 0.021745 26.000000 0.618297 -2.569395 0.524736 4.008162 0.200773 0.095013
J112536.17+542257.2 171.400690 54.382555 0.020642 0.025300 15.000000 0.695079 -2.559675 0.643196 3.010300 0.122375 0.112383 J135848.07+045426.9 209.700310 4.907485 0.024738 0.022333 14.000000 0.677666 -2.110703 0.450066 2.821357 0.118561 0.092887
J112536.17+542257.2 171.400690 54.382555 0.020642 0.025300 15.000000 0.695079 -2.559675 0.643196 3.010300 0.122375 0.112383 J161433.82+414240.5 243.640910 41.711243 0.026414 0.015527 15.000000 0.710570 -2.498424 0.585131 3.010300 0.060612 0.049655
J112536.17+542257.2 171.400690 54.382555 0.020642 0.025300 15.000000 0.695079 -2.559675 0.643196 3.010300 0.122375 0.112383 J081956.74+392654.8 124.986430 39.448547 0.027690 0.016702 15.000000 0.682249 -2.298021 0.519231 3.010300 0.147956 0.125780
J120257.82+045045.1 180.740900 4.845850 0.020675 0.023705 85.000000 0.420185 -1.730208 0.302649 2.657395 0.259191 0.118148 J171934.81+563748.1 259.895060 56.630038 0.027373 0.021854 20.000000 0.722163 -2.739090 0.644006 3.766638 0.080349 0.078239
J120257.82+045045.1 180.740900 4.845850 0.020675 0.023705 85.000000 0.420185 -1.730208 0.302649 2.657395 0.259191 0.118148 J111406.32+554239.1 168.526320 55.710872 0.027943 0.015818 30.000000 0.687196 -2.035732 0.497710 3.098944 0.141441 0.122039
J120257.82+045045.1 180.740900 4.845850 0.020675 0.023705 85.000000 0.420185 -1.730208 0.302649 2.657395 0.259191 0.118148 J151944.30+441918.6 229.934590 44.321846 0.028207 0.026515 37.000000 0.594879 -2.409267 0.447772 3.817140 0.154891 0.091577
J120257.82+045045.1 180.740900 4.845850 0.020675 0.023705 85.000000 0.420185 -1.730208 0.302649 2.657395 0.259191 0.118148 J090015.62+401748.4 135.065070 40.296765 0.028934 0.022725 59.000000 0.498730 -2.115381 0.362406 3.266063 0.223871 0.092736
J120257.82+045045.1 180.740900 4.845850 0.020675 0.023705 85.000000 0.420185 -1.730208 0.302649 2.657395 0.259191 0.118148 J231221.42+143633.8 348.089230 14.609381 0.016234 0.016940 75.000000 0.606431 -2.628868 0.534480 4.354527 0.110534 0.057486
J111607.65+412353.2 169.031890 41.398105 0.020843 0.024209 35.000000 0.625521 -2.518774 0.535607 3.580017 0.131946 0.061495 J114422.81+082315.1 176.095050 8.387539 0.019970 0.030835 23.000000 0.635800 -2.480059 0.507205 3.494850 0.077204 0.058966
J111607.65+412353.2 169.031890 41.398105 0.020843 0.024209 35.000000 0.625521 -2.518774 0.535607 3.580017 0.131946 0.061495 J145627.95+021224.7 224.116470 2.206874 0.028817 0.027720 15.000000 0.715230 -2.406313 0.540158 3.010300 0.103279 0.077095
J111607.65+412353.2 169.031890 41.398105 0.020843 0.024209 35.000000 0.625521 -2.518774 0.535607 3.580017 0.131946 0.061495 J091431.31+491657.5 138.630470 49.282628 0.029331 0.022060 19.000000 0.662685 -2.308261 0.514514 3.345034 0.102410 0.067392
J111607.65+412353.2 169.031890 41.398105 0.020843 0.024209 35.000000 0.625521 -2.518774 0.535607 3.580017 0.131946 0.061495 J164106.57+460014.6 250.277360 46.004065 0.017798 0.016035 35.000000 0.624750 -2.101545 0.384310 3.010300 0.103599 0.072829
J111607.65+412353.2 169.031890 41.398105 0.020843 0.024209 35.000000 0.625521 -2.518774 0.535607 3.580017 0.131946 0.061495 J090838.46+323534.6 137.160240 32.592954 0.014297 0.014872 20.000000 0.768252 -2.630625 0.681798 3.266063 0.027332 0.024589
J114530.26+094344.8 176.376070 9.729100 0.021371 0.032397 30.000000 0.639148 -2.674068 0.559439 3.979400 0.148342 0.082883 J132505.37-005411.2 201.272360 -0.903104 0.018079 0.012476 35.000000 0.674320 -2.471750 0.542568 4.064567 0.103263 0.071547
J114530.26+094344.8 176.376070 9.729100 0.021371 0.032397 30.000000 0.639148 -2.674068 0.559439 3.979400 0.148342 0.082883 J131038.58+611623.6 197.660750 61.273235 0.031332 0.016547 29.000000 0.575346 -2.103214 0.424709 3.116246 0.176242 0.093525
J114530.26+094344.8 176.376070 9.729100 0.021371 0.032397 30.000000 0.639148 -2.674068 0.559439 3.979400 0.148342 0.082883 J121626.72+105342.4 184.111330 10.895111 0.024611 0.022184 30.000000 0.610468 -1.968561 0.386625 3.313789 0.187732 0.112390
J114530.26+094344.8 176.376070 9.729100 0.021371 0.032397 30.000000 0.639148 -2.674068 0.559439 3.979400 0.148342 0.082883 J102813.91+590602.3 157.057950 59.100646 0.031303 0.015028 15.000000 0.725644 -2.373850 0.609700 3.010300 0.100845 0.093361
J114530.26+094344.8 176.376070 9.729100 0.021371 0.032397 30.000000 0.639148 -2.674068 0.559439 3.979400 0.148342 0.082883 J004436.94-094600.4 11.153903 -9.766788 0.029858 0.019490 15.000000 0.674772 -2.261788 0.534778 3.184110 0.096272 0.076644
J132428.24+044629.6 201.117680 4.774889 0.021430 0.022568 15.000000 0.673181 -2.324937 0.504571 3.010300 0.093473 0.072767 J085333.60+394537.3 133.390020 39.760373 0.023416 0.021742 23.000000 0.605672 -2.548667 0.486292 3.890756 0.198793 0.130193
J132428.24+044629.6 201.117680 4.774889 0.021430 0.022568 15.000000 0.673181 -2.324937 0.504571 3.010300 0.093473 0.072767 J161433.82+414240.5 243.640910 41.711243 0.026414 0.015527 15.000000 0.710570 -2.498424 0.585131 3.010300 0.060612 0.049655
J132428.24+044629.6 201.117680 4.774889 0.021430 0.022568 15.000000 0.673181 -2.324937 0.504571 3.010300 0.093473 0.072767 J085837.31+515242.6 134.655450 51.878488 0.012736 0.023873 30.000000 0.689498 -2.677395 0.554498 3.890756 0.123531 0.098335
J132428.24+044629.6 201.117680 4.774889 0.021430 0.022568 15.000000 0.673181 -2.324937 0.504571 3.010300 0.093473 0.072767 J102332.53+460328.0 155.885560 46.057770 0.025765 0.021745 26.000000 0.618297 -2.569395 0.524736 4.008162 0.200773 0.095013
