NAME1,RA1,DEC1,Z1,RMS1,NAME2,RA2,DEC2,Z2,RMS2
J132428.24+044629.6,201.11768,4.774889,0.02143,0.0225676,J161433.82+414240.5,243.64091000000002,41.711242999999996,0.0264143,0.0155273
J132428.24+044629.6,201.11768,4.774889,0.02143,0.0225676,J085837.31+515242.6,134.65545,51.878488,0.0127364,0.0238727
J132428.24+044629.6,201.11768,4.774889,0.02143,0.0225676,J102332.53+460328.0,155.88556,46.05777,0.0257652,0.0217453
J132428.24+044629.6,201.11768,4.774889,0.02143,0.0225676,J085949.05+050339.1,134.95436999999998,5.0608525,0.0125192,0.024462
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,0.0167425,J080547.35+225434.9,121.44728,22.909688,0.030256,0.0166379
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,0.0167425,J023310.79-074813.4,38.294963,-7.8037217000000005,0.030938,0.0178512
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,0.0167425,J073715.73+313110.9,114.31555,31.519703000000003,0.0267995,0.0125605
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,0.0167425,J111835.82+002511.2,169.64924,0.41976742,0.0250768,0.0153728
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,0.0167425,J081006.07+245519.5,122.52528000000001,24.922096,0.0140412,0.0240604
J093812.26+074340.1,144.5511,7.727792,0.021895,0.0246936,J082854.33+343906.0,127.22636000000001,34.651656,0.0209219,0.0168988
J093812.26+074340.1,144.5511,7.727792,0.021895,0.0246936,J094814.71+574444.5,147.0613,57.745681000000005,0.0297192,0.0157687
J093812.26+074340.1,144.5511,7.727792,0.021895,0.0246936,J113446.25+025515.7,173.69272,2.9210337,0.0286643,0.0265501
J093812.26+074340.1,144.5511,7.727792,0.021895,0.0246936,J093917.26+363343.9,144.82191,36.562197,0.0197165,0.0236172
J093812.26+074340.1,144.5511,7.727792,0.021895,0.0246936,J111038.86+034519.6,167.66192,3.7554482000000005,0.0254525,0.0237667
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,0.0140972,J220316.00+003415.9,330.81665,0.571085,0.0301422,0.00946128
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,0.0140972,J104000.58+390720.0,160.0024,39.122223999999996,0.0308047,0.0166091
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,0.0140972,J141451.35+030751.3,213.71395,3.1309259999999997,0.0253336,0.0246138
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,0.0140972,J144545.12+513450.9,221.43797999999998,51.580815,0.0298071,0.0236017
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,0.0140972,J172717.39+582907.7,261.82245,58.485471,0.0272243,0.0181055
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,0.0187396,J034545.16-071526.9,56.438184,-7.257463,0.0216551,0.0202597
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,0.0187396,J074953.38+451454.6,117.4724,45.248489,0.0312531,0.0281014
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,0.0187396,J094511.97-000712.1,146.29988,-0.12001413,0.0306548,0.0210287
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,0.0187396,J080328.07+250609.6,120.86693999999999,25.102666,0.0275703,0.0179645
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,0.0187396,J005329.92-084604.0,13.374656,-8.7677882,0.019029,0.0286664
J121754.98+583935.7,184.47907,58.659912,0.023253,0.0155623,J080547.35+225434.9,121.44728,22.909688,0.030256,0.0166379
J121754.98+583935.7,184.47907,58.659912,0.023253,0.0155623,J023310.79-074813.4,38.294963,-7.8037217000000005,0.030938,0.0178512
J121754.98+583935.7,184.47907,58.659912,0.023253,0.0155623,J213206.88+110637.0,323.02865,11.110274,0.0315655,0.0288243
