dr7objid,ra,dec,gz2class
588297864726642799,164.86397,46.122370000000004,SBc+t
588017603622076464,219.31123,38.45427,SBc2m
587722984432009290,197.38287,0.85702807,SBb(r)
588010358548070424,177.00095,4.4881434,SBc4m
587732483837067338,228.28072000000003,41.26463,SBb2t
587726033334632485,208.23566,2.8142742999999997,SBb?t(r)
587739707951284257,226.67404,23.641922,SBb(o)
587742578050203720,178.33467,20.751708999999998,SBb+m
588017566025842748,183.13468999999998,12.12381,SBc2t
587742627984244860,213.70987000000002,15.146887,SBb?t
587739506623643665,201.8202,32.030712,SBb2t
587739828749009268,239.63474,17.441457999999997,SBc2m
587729387677679742,137.66528,50.37982,SBb2m
587738196650164241,115.95978999999998,49.614204,SBb2t(r)
587739377231462496,126.300285,20.334745,SBc2t
588848899919315040,195.2422,-0.02501581,SBc2m(d)
587739379914965160,220.6385,28.726453999999997,SBc3m
587741532774858770,144.31331,23.590609,SBb3t
588295842322251783,176.48586,50.19975,SBb(o)
587725994108780659,246.37701,49.84026,SBc2t(r)
587741601498791958,194.11606,26.987416999999997,SBc?t
587742062142488583,174.45197,22.691284,SBb
587742611883032611,234.6324,12.188701,SBb+t
587742902325673990,187.91284,16.853904999999997,SBc?m
587732772130979887,186.46114,10.459054,SBc?t
587733411526672449,234.17567000000003,43.539318,SBb2t
588017719576232009,199.90753,40.386112,SBb(r)
587731513681772657,24.00065,0.6635328,SBb2m
587733079740383254,189.00047,54.220969999999994,SBb2t(r)
587739652107665466,238.23344,21.100507999999998,SBc3t
587732772126261318,175.4706,10.304371000000002,SBb(o)
587734623237111914,119.48536999999999,25.160868,SBb?t
587731511542349882,42.366455,-0.8729911,SBc2m
588013383276822573,169.44366000000002,51.4766,SBd2t(i)
587742775641571449,201.9457,17.778831,SBb+t
588017567635275824,180.3486,13.401017000000001,SBc?m(r)
587732482748121135,179.32228,49.2831,SBc+m
588017109685633092,185.15895,46.291805,SBd2m(i)
587726014542184502,203.12819,1.847704,SBc(r)
587726100950876200,223.42692999999997,3.5825002,SBc3m
587725576426356774,262.00595,57.521824,SBb2m
587732469852078148,132.5492,35.076409999999996,SBb2m
587741727654543452,190.3811,26.042664000000002,SBb2t(r)
587739507153961006,184.1616,33.560894,SBc(r)
587741707812143142,182.57605,26.430737,SBb2t
587733195159568426,192.81883,53.696293000000004,SBb
587742062143013024,175.88098,22.725435,SBc2m
587738946683076613,182.70668,39.472809999999996,SBb3t
587733409915666522,232.0532,42.929905,SBa2m(m)
587741722824343608,196.44818,27.734138,SBc?m
587734622178312221,155.13225,43.021595,SBc3t
588017627776221322,216.90254,41.257754999999996,SBd?m
587735044149084285,128.3464,29.538809000000004,SBd2m
587741723360690227,195.07469,28.20239,SBb
587742014892343326,179.49597,23.124899,SBb
588017979966947360,185.41322,40.848929999999996,SBb3m
588298663047725135,219.23782000000003,41.828114,SBb+t
588017702937886775,197.27331999999998,11.634125,SBb?t
588017720107270166,182.22949,41.740868,SBc?t(r)
588009372299493463,173.11708000000002,62.5073,SBb
588017724938977329,188.66461,7.160193,SBd2l(i)
587739380460486809,240.75467999999998,20.955925,SBc3t
587742577513267300,178.23572,20.479097,SBb
588017604139352106,159.78941,41.686676,SBd2m
587739097520209929,167.317,36.021084,SBb
587729777445306532,216.79921000000002,-2.2624106,SBc3t
587739706865877000,197.44786000000002,28.906941999999997,SBc2m
587739610240843792,192.53632,33.159153,SBb2m
587739707940143109,198.89536,29.67608,SBb(r)
587742616173740156,243.5137,14.282114000000002,SBb2m
587742627446849636,212.38486,14.831833999999999,SBb+t
587739096985698342,174.13902,36.410340000000005,SBc?m(i)
587738573536100464,206.98225,37.82633,SBc?t
587722981752438860,208.22693,-1.1146163999999998,SBc+t
588010358539157716,156.6742,3.8619251000000006,SBc?t
587741829115936890,154.44943,21.873335,SBc2l(m)
587733604267131173,245.81894,39.919876,SBc3m
587742566789414994,165.86105,18.1299,SBc2t
587741726576607327,179.75423,25.222794,SBb(r)
587736940908249166,215.35463,35.27063,SBb2t
587739114701193327,126.77484,21.645283,SBb(r)
587742061610532953,186.7478,22.639578,SBb(r)
587732771595616283,189.99065,10.172467999999999,SBb2t(r)
587732156852797482,120.08743,26.613525,SBb2m
587745245237149816,146.2379,16.70744,SBc?t
588297865261547571,158.78583999999998,45.084652,SBb+t
588017729763541036,188.29898,7.85163,SBb
587742593085014028,209.32873999999998,15.458414999999999,SBb
587742549599977500,202.6606,18.134607,SBc3m
587739303150026776,203.37093000000002,33.042374,SBb3m
587741421633404998,120.7068,15.808276000000001,SBc2m
587741721210060891,186.95975,26.993526,SBb2l
588015508750925900,42.161232,-0.27153057,SBb2l(r)
587726014005641268,203.85231000000002,1.4105946000000003,SBb+m
587738569778724901,188.48608000000002,15.354813,SBd2t
588017949361700948,214.09941,39.502193,SBb2m
587741391035760741,144.49165,25.494787,SBb+t
587735044153409625,138.18489,34.925564,SBc2m
587731499189403823,169.05826000000002,55.704292,SBc(r)
587733409915863108,232.65247000000002,42.71716,SBc+t
587739721386492066,247.40048,15.658434,SBb
587732483809738762,141.22171,41.060184,SBc2t
587733398643212373,238.22017999999997,40.646713,SBc4t
587741603109797916,195.20335,28.158340000000003,SBb3t
587722984440529128,216.83485,1.0258641,SBb+m
588010880372244552,185.8428,6.0407233,SBb2l
587732482197225496,137.42407,37.60157,SBb+t
587741726584143934,198.76463,24.618832,SBc2m
587742865823957157,181.76434,18.531761,SBb2t
588023045870256231,145.78564,21.182364,SBc2m
587731886270316660,119.44027,32.558113,SBb2t
587736809916203016,217.07677,13.780226999999998,SBc?m
587734622701093005,121.41109499999999,26.168188,SBc+t
588013384342044771,142.04182,44.664753000000005,SBb+m
587734305413529813,330.81665,0.57109374,SBb2m
587732701776969793,125.54451,3.2680447,SBc2m
587735743683887203,226.47202000000001,39.522186,SBb?t
588848900980670532,166.88168000000002,0.78310364,SBb+t
587739381520728095,208.58313,32.929928000000004,SBb2m
587739507160711195,202.40188999999998,32.400726,SBb(r)
587738952561721349,186.73111,37.908974,SBb3m
588297863649624112,155.25229,42.985313,SBa
587730022259490897,230.48082999999997,5.062968700000001,SBb+m
587734892748144649,168.45726000000002,9.586314,SBb(d)
587732053780725885,134.19873,39.382187,SBb?m
588010359625285734,185.0155,5.3413568,SBb2m
587739814777127100,234.1157,22.500483,SBb(r)
587735664766353506,201.79956,55.48716700000001,SBc?t
587725577498918955,262.4972,60.350273,SBb?m
587745539445620757,153.50313,14.499685000000001,SBb(r)
587746210521088047,164.06448,9.754436,SBb?t(r)
587725471206801501,130.03946000000002,52.45599,SBc?t
587735235807215692,120.15281999999999,22.400051,SBc+t
587736808840822795,213.13214,13.304742000000001,SBc3m
587742567315144773,139.66926999999998,13.829476000000001,SBc2t
587739719763558489,218.94057999999998,24.725796,SBc2m
587742576453877812,212.82442000000003,17.50645,SBb2m
587739505541513315,179.22598,32.158809999999995,SBb
587742863676735572,182.3871,17.014263,SBb?m(r)
587731892186513497,170.13055,57.781406000000004,SBc2m
587726100412563492,220.1579,3.3770269999999996,SBa2t(l)
587738946662629527,129.5456,24.895277,SBb2m(m)
587732153109512274,155.6697,46.238678,SBc2t
587738946131132437,141.8479,30.440815,SBb2l(r)
587739130806861890,210.42244,33.826817,SBc2l(m)
588017728157712437,199.25668000000002,6.357078,SBb2t
587742864750215257,181.68532,17.715357,SBc?t
588010359086579732,180.74088,4.8458533,SBc2t
587739408391995448,182.83725,35.845413,SBb(r)
587742774566387740,198.45909,17.076235,SBb(r)
587725469600055395,143.1044,57.482890000000005,SBc2m
587731873386004741,119.97416000000001,33.29052,SBc3m
588023670779281517,176.48158,21.025515,SBb+t
587733608552923224,245.22421,40.104145,SBb2t
587742566785286198,156.03572,16.741892,SBc+t
587741830192300041,160.54607,23.74673,SBb?t(r)
587741532789932040,182.33156,29.932446999999996,SBc+t
587732771583950851,162.87294,9.279513,SBb2t
587726033318051921,170.35413,3.013933,SBc
587725469052698697,118.60367,39.37153,SBb(r)
