NAME2,I,type,other,hubble,sat,bar,core,asa,gud,tl,mg,onsa,ring
J095914.76+125916.5,0.19882821596578729,2,,a,,,,,1,,,,
J100008.40+005905.3,0.10507242552931692,a,,e,,,,,,,,,
J100055.21+022343.9,0.07559358769245911,b,,e,,,,,,,,,
J100135.81+033647.8,0.14242062010051806,e,1,s,,,,,,,,,
J100213.84+114120.5,0.3850143381133141,c,,l,,,,,,,,,
J100356.91+013044.5,0.05769771139509525,a,,e,,,,,,,,,
J100431.83+380021.7,0.07631367178955484,d,,s,,,,,,,,,
J100504.46+033734.9,0.09434997903236547,f,,e,,,,,,,,,
J100604.28+534253.5,0.12894614041539929,3,4,a,,,,,,,1,,
J100714.40+391947.6,0.10740683314881214,c,,l,,,,,,,,,
J100811.56+422507.2,0.12279085096906225,1,,a,,,,1,1,,,,
J100819.11+372903.4,0.12621872728855715,e,,a,,,,1,,,,,
J100837.33+543905.4,0.06980045745800252,f,,e,,,,,,,,,
J100901.65+384639.6,0.07265783768972334,b,,e,,,,,,,,,
J101006.19+120214.3,0.08324328361650253,b,,e,,,,,,,,,
J101632.58+013202.2,0.1508881106694218,a,,e,,,,,,,,,
J101658.93+132357.5,0.058188824458823986,b,,e,,,,,,,,,
J101706.83+093622.5,0.07856449866201666,b,,e,,,,,,,,,
J101756.90+390528.0,0.0888251937769687,f,,a,,,,,,,,,1
J101806.67+000559.8,0.14638860765209466,f,,e,,,,,,,,,
J101814.13+585951.7,0.10780263642665604,d,,a,,,,,,,,,1
J101931.72+585718.3,0.06266341347641599,b,,e,,,,,,,,,
J102332.53+460328.0,0.12418539101407833,b,,e,,,,,,,,,
J102332.55+522031.4,0.17502239935491673,1,3,a,,,,1,,1,,,
J102523.66+645955.3,0.16546284120373747,e,,a,,,,,,,,,
J102813.91+590602.3,0.11337995468165472,b,,e,,,,,,,,,
J102944.63+402937.8,0.10710588518417988,1,,a,1,,,,,,,,
J103000.94+085202.6,0.07133205694679842,b,,e,,,,,,,,,
J103111.53+605605.4,0.09055525899526788,d,,s,,,,,,,,,
J103443.72+110310.7,0.0706236221300542,b,,e,,,,,,,,,
J103631.88+022144.0,0.496262597796476,3,4,a,,,,,,1,,,
J103719.33+433515.3,0.1055293328901472,b,,e,,,,,,,,,
J103851.06+391410.6,0.07721587802190727,d,,s,,,,,,,,,
J103855.95+392157.6,0.060341026208297524,b,,e,,,,,,,,,
J103932.19+135550.2,0.1311132183850403,d,,s,,,,,,,,,
J104000.58+390720.0,0.0955713553765878,1,,a,1,,,,,,,,
J104002.70+493304.6,0.12782417507796082,d,,s,,,,,,,,,
J104248.63+110000.9,0.0645578247816942,b,,e,,,,,,,,,
J104833.59+475914.7,0.13712631621730334,2,,a,,,,,1,,,,
J104852.92+480314.8,0.09086530096677482,1,,a,,,,,,,,,1
J105114.42+410229.9,0.12043695134757715,b,,e,,,,,,,,,
J105120.86+012307.5,0.0979478052961028,a,,e,,,,,,,,,
J105208.20+060915.2,0.07910349995412236,f,,e,,,,,,,,,
J105408.24+002139.7,0.06663019730758404,d,,s,,,,,,,,,
J105546.79+440258.8,0.09035478575078999,a,,e,,,,,,,,,
J105702.92+051442.1,0.1036823257607286,b,,e,,,,,,,,,
J105953.47+595715.6,0.1424520144628545,b,,e,,,,,,,,,
J110133.96+453913.9,0.11487173990287562,1,,a,1,,,,,,,,
J110134.20+013509.9,0.11658677839778812,2,,a,,,,,1,,,,
J110158.99+451340.9,0.19627562767277887,1,3,a,,,,,,,,1,
J110219.75+123107.1,0.07599721175130374,a,,e,,,,,,,,,
J110326.80+664011.0,0.09919425380859802,b,,e,,,,,,,,,
J110338.36-005208.4,0.10086747658865547,b,,e,,,,,,,,,
J110442.28+405732.1,0.09491045892769208,b,,e,,,,,,,,,
J110449.91+123225.3,0.1026957472095044,b,,e,,,,,,,,,
J110529.83+033935.9,0.08806263577328778,b,,e,,,,,,,,,
J110559.02+585645.7,0.105408506289542,b,,e,,,,,,,,,
J110602.37+431024.5,0.0990609544038742,a,,e,,,,,,,,,
J110617.71-004542.2,0.06303397499890442,a,,e,,,,,,,,,
J110621.38+502316.8,0.0938137683358492,b,,e,,,,,,,,,
J110752.55+110042.3,0.11528557753036152,d,,s,,,,,,,,,
J110909.09+052815.7,0.06423568554072483,b,,e,,,,,,,,,
J111038.86+034519.6,0.0633213537180045,b,,e,,,,,,,,,
J111057.88+631849.5,0.08484049696623935,1,,a,1,,,,,,,,
J111118.74+102020.2,0.11533748696819147,d,,s,,,,,,,,,
J111149.90+050642.4,0.10795247258730084,b,,e,,,,,,,,,
J111319.24+044425.2,0.13021446534672235,b,,e,,,,,,,,,
J111344.45+570909.5,0.07463219657461004,b,,e,,,,,,,,,
J111353.24+044806.2,0.0814584550448118,a,,e,,,,,,,,,
J111406.32+554239.1,0.12919528469243927,1,,a,1,,,,,,,,
J111501.23+621444.6,0.17155841537315006,b,,e,,,,,,,,,
J111549.86+461910.4,0.12306048425110187,f,,e,,,,,,,,,
J111634.53+584632.3,0.056984436708566975,b,,e,,,,,,,,,
J111636.49+553856.8,0.08857378894101467,b,,e,,,,,,,,,
J111835.82+002511.2,0.10560888105782128,a,,e,,,,,,,,,
J111844.60+034207.4,0.13015103395728878,3,,a,,,,,,1,,,
J111914.85+035751.3,0.1345161179990011,2,d,a,,,,,1,,,,
J111943.96+073529.0,0.10138151919364023,2,,a,,,,,1,,,,
J112136.42+114413.5,0.08289430085806243,b,,e,,,,,,,,,
J112221.15+462549.8,0.08749244232281532,a,,e,,,,,,,,,
J112301.31+470308.7,0.1392775009053033,b,,e,,,,,,,,,
J112320.25+055107.3,0.1218522056776904,d,,s,,,,,,,,,
J112426.14-002537.5,0.12704787931549466,a,,e,,,,,,,,,
J112640.67-014137.7,0.0783280371697269,f,,e,,,,,,,,,
J112751.20+443709.9,0.1209180947119359,d,,s,,,,,,,,,
J112757.53-011240.2,0.17033766319101698,1,,a,1,,,,,,,,
J113003.58+571829.4,0.1464956790726618,d,,s,,,,,,,,,
J113132.72+523921.6,0.10564156888309433,a,,e,,,,,,,,,
J113148.60+005147.7,0.1271890544684447,c,,l,,,,,,,,,
J113209.24-005633.4,0.09715193340575336,f,,e,,,,,,,,,
J113240.25+525701.4,0.23715578888819355,4,,a,,,,,,,1,,
J113606.64+621457.0,0.1719677715538747,1,,a,1,,,,,,,,
J113619.29-025050.7,0.10322415507031793,2,,a,,,,,1,,,,
J113659.25+563536.6,0.12928665770238754,c,,l,,,,,,,,,
J113703.30+060505.4,0.2944089869409535,c,,l,,,,,,,,,
J113808.01+111147.0,0.14001597306997068,1,,a,,,,,,,1,,
J114250.31+594806.7,0.10196419577765653,b,,e,,,,,,,,,
J114342.09+632434.8,0.1168520073501866,c,,l,,,,,,,,,
J114422.81+082315.1,0.07678294869916576,d,,a,,,,,,,,,1
J114504.88+463733.6,0.06725696197357825,a,,e,,,,,,,,,
J114721.61+522658.5,0.11155482129733377,2,,a,,,,,1,1,,,
J114825.72+643545.0,0.1055008295492309,b,,e,,,,,,,,,
J114840.43-001710.3,0.10734264399298486,3,,a,,,,,1,,,,
J114857.77+112718.4,0.09606315148415813,b,,e,,,,,,,,,
J114905.03+132140.7,0.12006094988228776,1,,a,1,,,,,,,,
J114930.79+424541.1,0.08494438390472912,b,,e,,,,,,,,,
J114959.98+041726.4,0.0782080846923369,2,,a,,,,,1,,,,
J114959.98+475825.7,0.09969306234763324,a,,e,,,,,,,,,
J115028.16+044141.8,0.09360198653448916,d,,a,1,,,,,,,,
J115250.88+542150.8,0.08710510974272674,f,,e,,,,,,,,,
